"Date","Price","Open","High","Low","Vol.","Change %"
"07/13/2021","26.40","25.40","26.67","25.00","6.90M","6.41%"
"07/12/2021","24.81","23.75","24.81","23.08","6.70M","7.50%"
"07/09/2021","23.08","21.40","23.08","21.40","3.04M","7.85%"
"07/08/2021","21.40","21.50","21.65","21.13","1.54M","1.23%"
"07/07/2021","21.14","21.75","21.75","21.12","386.00K","-1.54%"
"07/06/2021","21.47","22.00","22.00","21.25","579.00K","-2.28%"
"07/05/2021","21.97","22.50","22.50","21.60","751.50K","-1.92%"
"07/02/2021","22.40","22.31","22.90","22.01","615.50K","-1.45%"
"07/01/2021","22.73","22.47","22.90","21.85","2.96M","2.85%"
"06/30/2021","22.10","21.25","22.50","21.25","2.04M","4.74%"
"06/29/2021","21.10","21.55","21.80","21.01","343.00K","0.24%"
"06/28/2021","21.05","22.00","22.00","21.05","2.04M","-4.32%"
"06/25/2021","22.00","23.09","23.10","21.95","1.13M","-3.30%"
"06/24/2021","22.75","22.26","23.45","21.90","1.87M","1.52%"
"06/23/2021","22.41","22.89","23.24","22.30","1.31M","-1.10%"
"06/22/2021","22.66","22.44","23.00","22.05","2.75M","3.00%"
"06/21/2021","22.00","22.00","22.60","21.12","2.57M","2.04%"
"06/18/2021","21.56","21.20","22.19","21.00","2.50M","2.67%"
"06/17/2021","21.00","20.11","21.74","19.98","5.75M","3.70%"
"06/16/2021","20.25","20.60","20.87","20.20","486.00K","-1.46%"
"06/15/2021","20.55","21.91","21.91","20.50","1.89M","-5.12%"
"06/14/2021","21.66","22.35","22.35","21.20","3.68M","3.88%"
"06/11/2021","20.85","20.49","21.30","20.20","2.44M","3.22%"
"06/10/2021","20.20","19.89","20.59","19.66","2.21M","3.06%"
"06/09/2021","19.60","19.19","19.95","19.00","1.13M","2.62%"
"06/08/2021","19.10","19.52","19.52","18.60","936.00K","-1.55%"
"06/07/2021","19.40","19.30","20.00","19.30","1.42M","0.00%"
"06/04/2021","19.40","20.49","20.49","19.25","2.83M","-4.86%"
"06/03/2021","20.39","20.70","21.00","20.16","4.59M","0.39%"
"06/02/2021","20.31","20.15","20.79","19.50","5.03M","2.11%"
"06/01/2021","19.89","18.99","19.89","18.65","13.93M","7.46%"
"05/31/2021","18.51","17.90","18.51","17.50","5.06M","7.49%"
"05/28/2021","17.22","16.19","17.22","16.00","5.51M","7.36%"
"05/27/2021","16.04","15.60","16.60","15.56","3.94M","2.82%"
"05/26/2021","15.60","15.34","15.70","15.05","2.76M","3.38%"
"05/25/2021","15.09","15.40","15.50","15.00","1.21M","-2.01%"
"05/24/2021","15.40","15.68","15.70","15.25","405.50K","-1.16%"
"05/21/2021","15.58","15.66","15.92","15.45","802.50K","-0.76%"
"05/20/2021","15.70","15.76","16.25","15.62","1.30M","-1.88%"
"05/19/2021","16.00","16.20","16.20","15.52","943.50K","-1.23%"
"05/18/2021","16.20","16.70","16.80","16.20","736.00K","-1.82%"
"05/17/2021","16.50","15.40","16.75","15.40","3.62M","4.70%"
"05/06/2021","15.76","15.55","15.95","15.25","902.50K","2.01%"
"05/05/2021","15.45","15.25","15.50","15.01","1.29M","1.51%"
"05/04/2021","15.22","14.95","15.22","14.70","1.06M","3.54%"
"05/03/2021","14.70","14.65","14.83","14.60","904.50K","-0.68%"
"04/30/2021","14.80","14.70","15.01","14.50","1.79M","0.68%"
"04/29/2021","14.70","14.66","14.75","14.60","242.00K","-0.07%"
"04/28/2021","14.71","14.82","15.00","14.65","471.50K","0.07%"
"04/27/2021","14.70","14.66","14.90","14.50","793.00K","0.00%"
"04/26/2021","14.70","13.86","15.00","13.86","2.21M","3.45%"
"04/23/2021","14.21","13.50","14.48","13.50","1.30M","2.23%"
"04/22/2021","13.90","13.76","14.17","13.75","1.16M","0.36%"
"04/21/2021","13.85","13.50","14.19","13.50","1.26M","2.59%"
"04/20/2021","13.50","12.80","13.57","12.71","5.75M","7.14%"
"04/19/2021","12.60","12.99","13.00","12.51","980.50K","-0.40%"
